Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
	100130426	0	0	0	0	0	0	0	0	0
	100133144	0	1.3774	6.0773	2.2328	10.844	6.4467	4.5372	0.185	1.7594
UBE2Q2P2	100134869	3.1447	1.3774	2.4556	0	5.1816	5.5522	0	3.033	1.4988
HMGB1P1	10357	81.9182	112.548	95.2832	109.361	107.756	127.068	107.731	96.5406	74.5696
	10431	1175.05	860.881	862.764	891.99	935.897	846.468	828.494	1039.42	976.378
	136542	0	0	0	0	0	0	0	0	0
	155060	122.641	99.1736	50.2489	89.3106	217.949	138.533	77.1325	65.9694	54.3036
RNU12-2P	26823	0	0	0	0	0	0	0	0	0
SSX9P	280660	0	0	0	0	0	0	0	0	0
	317712	0	0	0	0	0	0	0	0	0
EZHIP	340602	0	0	0	0	3.2051	0	0	0	2.1721
EFCAB8	388795	0	2.7548	0	1.1164	0	0	0	0	0
SRP14P1	390284	2.0964	1.3774	2.8443	2.2328	1.0684	2.1816	1.8149	4.0225	2.1721
	391343	0	0	0	0	0	0	0	0	0
TRIM75P	391714	0	0	0	0	0	0	0	0	0
SPATA31B1P	404770	0	0	0	0	0	0	0	0	0
REXO1L6P	441362	0	0	0	0	0	0	0	0	0
SDR16C6P	442388	0	0	0	0	0	0	0	0	0
	553137	144.654	199.725	2.8443	272.397	101.496	153.804	276.769	143.202	190.062
	57714	123.69	95.0413	146.006	93.7762	228.632	127.625	199.637	197.104	163.997
	645851	4.1929	0	8.5328	11.1638	8.547	8.7265	4.5372	4.0225	4.3443
	652919	0	0	24.6788	0	33.1197	0	0	0	0
HSPB1P1	653553	174.004	303.03	141.266	164.108	165.598	185.438	114.338	87.6911	158.566
PPBPP1	728045	0	0	0	0	0	0	0	0	0
	728603	0	0	0	0	0	0	0	0	0
ANKRD20A20P	728788	0	1.3774	0	3.3491	0	0	0.9074	2.4135	1.0861
	729884	0	0	0	0	0	0	0	0	1.0861
GTPBP6	8225	743.187	1068.87	690.211	947.809	818.376	965.367	738.657	605.792	657.073
EFCAB12	90288	19.9161	13.7741	17.0657	44.6553	16.0256	23.9978	21.7786	17.6991	34.7543
A1BG	1	83923.1	91446.9	108409	89252.7	79313.1	115108	71079.9	68911.6	107038
A1CF	29974	2941.3	1666.67	2567.43	3115.82	1822.65	1992.91	3557.17	2494.77	2493.62
A2BP1	54715	0	0	0	0	0	0	0	0	0
A2LD1	87769	967.558	175.51	180.318	233.413	218.803	227.499	502.105	831.239	361.836
A2M	2	83540.3	67214.7	98095.2	141573	209567	234585	139499	170268	112542
A2ML1	144568	0	0	0	0	0	0	0	0	0
A4GALT	53947	30.3983	152.893	74.8993	71.4485	159.188	112.353	63.5209	25.7442	40.1846
A4GNT	51146	2.0964	1.3774	2.8443	5.5819	3.2051	5.454	0.9074	4.827	5.4304
AAA1	404744	0	0	0	0	1.0684	0	0	0	0
AAAS	8086	875.262	860.881	563.167	802.679	827.991	897.737	819.419	827.031	661.417
AACS	65985	273.585	173.554	157.383	129.5	217.949	222.525	264.973	225.262	193.321
AACSL	729522	0	0	0	0	0	0	0	0	0
AADAC	13	12295.6	9114.33	14119	12787	7714.74	10724.8	9879.31	9370.07	9486.83
AADACL2	344752	0	0	0.9481	0	0	0	0	0	0
AADACL3	126767	0	0	0	0	0	0	0	0	0
AADACL4	343066	0	0	0	0	0	0	0	0	0
AADAT	51166	2102.73	1209.37	1709.41	1334.08	1105.77	1120.26	1827.59	1657.28	1809.39
AAGAB	79719	561.845	428.375	463.617	329.333	529.914	477.775	578.04	614.642	518.056
AAK1	22848	312.369	326.446	621.948	318.169	476.496	387.238	344.828	386.163	360.576
AAMP	14	2679.25	2823.69	2442.28	2928.27	2246.79	2923.37	2882.03	2480.29	2810.75
AANAT	15	0	0	0	0	0	0	0	0.8045	1.0861
AARS	16	3578.62	3031.68	3458.64	3398.27	3107.91	3632.4	5271.32	3982.3	4876.46
AARS2	57505	382.6	348.485	353.638	398.549	501.068	418.871	418.33	460.113	348.629
AARSD1	80755	609.015	555.096	415.264	697.739	508.547	645.76	471.869	540.628	586.478
AASDH	132949	227.463	144.628	144.11	225.509	157.051	181.074	296.733	218.021	232.419
AASDHPPT	60496	1074.42	768.595	694.003	851.8	951.923	895.555	897.459	1217.22	880.804
AASS	10157	2916.14	2224.52	3451.05	4891.99	4222.22	2893.92	4501.81	1770.72	3877.27
AATF	26574	807.128	778.237	777.435	967.904	732.906	1025.36	742.287	757.039	686.397
AATK	9625	40.8805	34.4353	23.7023	22.3277	84.4017	75.2659	41.7423	20.1126	24.9796
ABAT	18	21565	18380.2	27537.3	25222.4	20459.4	27809.1	32964.6	18831.1	29042.6
ABCA10	10349	233.753	348.485	46.4565	357.243	120.727	224.707	122.504	176.991	20.6354
ABCA1	19	3237.95	2323.69	5414.55	2883.62	3683.76	3581.13	4099.74	3444	6276.35
ABCA11P	79963	63.6059	41.7631	43.252	67.1281	77.9915	50.7663	34.5463	52.4698	27.1518
ABCA12	26154	0	0	0	0	4.2735	1.0908	0	0	1.0861
ABCA13	154664	3.1447	1.3774	6.6366	6.6983	5.3419	15.2713	8.167	1.609	43.4428
ABCA17P	650655	3.1447	1.3774	0	6.6983	2.1368	3.2724	1.8149	0	0
ABCA2	20	2147.8	1913.22	1741.64	922.132	1756.41	1541.31	2094.37	2154.47	1575.89
ABCA3	21	54.5073	112.948	63.5222	60.2847	151.709	113.444	49.0018	58.7289	64.0782
ABCA4	24	19.9161	16.5289	10.429	23.444	22.4359	21.8162	9.0744	9.6541	21.7214
ABCA5	23461	1899.37	800.275	1137.71	1195.65	1403.85	1559.86	1513.61	1377.31	1913.66
ABCA6	23460	4320.75	2617.08	4237.97	5156.57	3157.05	3523.32	5437.39	3679	4478.96
ABCA7	10347	256.813	154.27	141.266	120.569	247.863	258.522	245.917	115.044	167.255
ABCA8	10351	1528.3	1987.6	2546.57	1916.83	1509.62	1745.3	1607.99	1652.45	2149.33
ABCA9	10350	374.214	263.085	543.257	471.114	946.581	489.774	294.011	342.719	274.776
ABCB10	23456	833.333	523.416	784.072	487.859	577.991	555.222	837.568	954.143	806.951
ABCB11	8647	866.876	753.443	1433.52	1377.62	1094.02	770.112	2107.08	1156.07	1580.23
ABCB1	5243	1641.51	1353.99	3146.72	1095.17	1565.17	1662.39	2322.14	1554.3	1618.25
ABCB4	5244	6270.44	4280.99	6894.52	2745.19	3758.55	2926.64	4539.93	5679	6355.69
ABCB5	340273	1.0482	0	0	0	0	0	0	0	0
ABCB6	10058	1115.65	1366.96	943.01	1279.36	779.498	1184.97	2449.42	758.447	1308.93
ABCB7	22	639.413	457.3	520.503	677.644	490.385	547.587	602.541	586.484	577.79
ABCB8	11194	1398.32	833.333	722.446	530.282	951.923	891.192	1381.13	1333.07	1111.05
ABCB9	23457	13.6268	47.2865	30.6329	21.2113	36.5064	56.9076	17.6134	50.9493	12.24
ABCC10	89845	151.992	165.289	115.667	108.289	269.231	189.801	156.987	177.796	157.48
ABCC11	85320	253.669	41.3223	108.082	147.363	159.188	94.9005	151.543	72.4055	107.521
ABCC12	94160	0	0	0	0	1.0684	0	0	0	1.0861
ABCC13	150000	0	6.8871	0	1.1164	0	0	0	0	0
ABCC1	4363	79.6646	319.559	164.968	142.897	395.299	248.705	150.635	98.9541	254.141
ABCC2	1244	5436.06	3296.14	8690.21	3163.83	4150.64	3431.69	7651.54	6429.61	3102.91
ABCC3	8714	8615.3	3344.35	6102.87	1902.32	5427.35	4483.23	8116.15	6868.87	5715.99
ABCC4	10257	84.9057	92.2865	52.1451	49.1208	207.265	77.4475	158.802	222.043	68.4225
ABCC5	10057	182.39	274.105	106.186	307.005	457.265	239.978	169.691	150.442	171.599
ABCC6	368	7830.19	6610.19	6530.46	5836.45	5516.03	6121.63	10269.5	7502.01	8168.34
ABCC6P1	653190	1307.13	622.59	366.912	666.481	767.094	747.205	1276.77	578.439	793.918
ABCC6P2	730013	408.805	147.383	105.238	154.061	179.487	190.892	225.045	239.743	161.825
ABCC8	6833	10.4822	0	0.9481	1.1164	3.2051	2.1816	0	0.8045	1.0861
ABCC9	10060	2722.22	1977.96	2154.06	1526.1	1260.68	2639.76	3356.62	2061.95	3641.6
ABCD1	215	564.99	513.774	346.054	313.704	479.701	382.874	423.775	674.175	355.145
ABCD2	225	1.0482	5.5096	6.6366	4.4655	7.4786	13.0897	3.6298	1.609	9.7746
ABCD3	5825	4366.88	3519.28	6756.1	4741.28	4611.11	3427.32	5364.79	6341.91	4603.86
ABCD4	5826	1356.39	1418.73	1280.87	1365.34	1117.52	1540.22	1779.49	1329.04	1382.57
ABCE1	6059	1080.71	924.242	1990.05	1168.85	1190.17	1191.16	1245.01	1343.52	1179.47
ABCF1	23	1883.65	1604.68	1920.83	1836.45	1729.7	1655.85	2049	1604.99	1685.58
ABCF2	10061	560.797	464.187	548.945	449.902	617.521	535.588	480.036	514.883	579.962
ABCF3	55324	1395.18	1106.06	1041.95	1326.26	1311.97	1071.18	1100.73	1201.13	1373.88
ABCG1	9619	119.497	298.898	147.902	137.315	214.744	213.799	179.673	205.953	220.472
ABCG2	9429	1350.1	1407.71	1292.25	2067.54	804.487	1269.7	1782.21	1502.01	843.877
ABCG4	64137	3.1447	0	0	1.1164	2.1368	8.7265	2.7223	4.827	8.6886
ABCG5	64240	2641.51	2318.18	1491.35	3033.21	1897.44	2308.15	2267.7	1763.48	1995.11
ABCG8	64241	2929.77	2435.26	1440.15	3446.27	1530.98	2458.69	3578.04	3069.99	2650.01
ABHD10	55347	1256.81	965.565	967.054	1161.04	1072.65	995.909	1171.51	1436.04	1095.85
ABHD11	83451	274.633	342.975	196.255	420.876	442.308	424.325	200.544	199.517	284.551
ABHD12	26090	1404.61	1232.78	858.023	1378.73	1025.64	1183.53	1098	966.211	825.414
ABHD12B	145447	1.0482	1.3774	0	1.1164	1.0684	3.2724	3.6298	2.4135	3.2582
ABHD13	84945	513.627	522.039	640.91	499.023	645.299	530.134	567.151	717.619	560.413
ABHD14A	25864	510.482	501.377	387.77	510.745	402.778	513.771	347.559	386.967	375.781
ABHD14B	84836	7824.95	5331.96	5095.05	6777.56	6043.8	6364.88	6627.95	6900.24	7265.82
ABHD15	116236	1609.01	1052.34	1144.35	1666.76	1150.64	1627.49	1586.21	1648.43	931.849
ABHD1	84696	170.859	96.4187	60.6779	60.2847	99.359	44.7232	78.0399	92.5181	121.64
ABHD2	11057	15076.5	10699.7	18514.3	9910.13	13634.6	10716.1	14251.4	15506.8	20472.4
ABHD3	171586	854.298	626.722	908.272	1013.68	905.983	1023.18	967.332	779.566	862.341
ABHD4	63874	542.977	625.344	433.278	625.174	685.897	657.758	733.212	608.206	448.547
ABHD5	51099	530.398	706.612	1010.67	458.833	677.35	446.141	889.292	700.724	705.946
ABHD6	57406	1861.64	1151.52	1860.16	1020.37	1643.16	1627.49	2088.93	1938.86	1515.07
ABHD8	79575	705.451	662.534	493.956	514.653	524.573	494.137	610.708	540.628	499.593
ABI1	10006	742.6	800.275	852.335	866.313	860.043	910.826	830.308	861.875	768.765
ABI2	10152	371.069	446.281	419.057	468.881	552.35	613.035	391.107	413.516	370.35
ABI3	51225	97.4843	398.072	138.421	170.807	205.128	248.705	144.283	73.21	233.505
ABI3BP	25890	169.811	309.917	115.667	156.294	298.077	281.429	203.267	92.5181	119.468
ABL1	25	619.497	1012.4	823.892	715.601	1042.73	860.649	580.762	986.323	690.741
ABL2	27	231.656	348.485	384.925	506.838	444.444	439.596	353.902	316.975	253.055
ABLIM1	3983	1170.86	966.942	3298.41	1058.33	2040.6	1289.34	1208.71	1285.6	2423.02
ABLIM2	84448	30.3983	50.9642	36.0275	36.8406	58.7607	99.2637	33.5753	21.7216	44.5289
ABLIM3	22885	1837.53	1604.68	5077.03	2435.95	3744.66	2919.01	1716.88	1756.23	7463.48
ABO	28	0	6.8871	2.8443	1.1164	8.547	6.5449	3.6298	2.4135	2.1721
ABP1	26	540.88	780.992	459.825	2.2328	212.607	377.42	490.926	4.0225	7.6025
ABR	29	235.849	626.722	247.452	446.553	683.761	658.849	320.327	201.126	422.482
ABRA	137735	1.0482	0	0	0	0	0	0.9074	0	0
ABT1	29777	562.893	732.782	673.145	678.761	623.932	617.398	609.8	595.334	619.061
ABTB1	80325	747.38	949.036	474.994	664.248	809.829	729.752	490.018	502.816	624.491
ABTB2	25841	979.036	402.204	796.397	419.76	419.872	244.341	749.546	600.965	784.143
ACAA1	30	27726.4	15964.2	16387.8	15896.2	15584.4	16039.3	19751.4	17661.3	16126
ACAA2	10449	28834.4	12245.2	26859.4	21761.7	15542.7	17496.6	20824	17524.5	24738.5
ACACA	31	1010.48	735.537	796.397	548.144	936.966	978.457	1105.26	958.97	692.913
ACACB	32	9294.55	5005.51	5426.88	4670.95	4951.92	4410.14	8131.58	6835.88	8698.34
ACAD10	80724	1665.62	1870.52	1638.3	1540.61	1722.22	1625.31	2044.46	2037.01	2045.07
ACAD11	84129	6307.11	3110.19	6257.41	4474.46	4601.5	4566.13	6919.24	5057.11	4859.03
ACAD8	27034	1156.18	891.185	786.916	821.658	962.607	974.093	1049	1273.53	955.743
ACAD9	28976	1374.18	1224.5	1024.89	1186.21	1336.54	1233.7	1355.71	1160.06	1240.28
ACADL	33	1071.28	588.154	778.384	1108.57	1241.45	889.01	1121.6	1255.83	864.513
ACADM	34	6421.38	4814.05	6697.32	6240.58	5420.94	6133.62	8401.09	6799.68	8768.94
ACADS	35	9672.96	9117.08	7853.99	6967.35	6486.11	6446.69	9362.07	8439.26	11023.6
ACADSB	36	17152	16326.4	20939.6	28641.9	17765	20543.2	25260.4	19991.2	18012.5
ACADVL	37	23781.9	20624	21912.3	27166.1	20822.6	21736.5	18330.3	21219.6	17692.1
ACAN	176	1.0482	6.8871	2.8443	3.3491	22.4359	19.6346	86.2069	0	3.2582
ACAP1	9744	37.7358	296.143	87.2245	111.638	200.855	244.341	57.1688	68.3829	91.23
ACAP2	23527	542.977	588.154	544.205	648.619	674.145	758.113	745.009	772.325	640.782
ACAP3	116983	867.159	931.13	794.501	559.308	944.444	693.755	716.125	724.859	510.453
ACAT1	38	21309.2	15896.7	18754.2	16706.7	16456.2	15384.8	21000.9	22487.5	31251.7
ACAT2	39	4319.95	3515.36	4059.17	3306.19	2805.13	6593.43	4700.53	4290.84	2002.39
ACBD3	64746	627.883	746.557	1275.18	964.555	929.487	891.192	913.793	1000.8	1045.89
ACBD4	79777	3772.54	2219.01	2485.9	2967.35	2346.15	2748.84	3307.62	2306.52	2200.38
ACBD5	91452	2808.18	2330.58	1797.58	3058.89	2036.32	1980.91	3089.84	3131.13	2336.14
ACBD6	84320	300.839	293.388	191.515	280.212	227.564	283.611	227.768	292.035	279.12
ACBD7	414149	7.3375	8.2645	1.8962	5.5819	2.1368	10.9081	8.167	6.436	7.6025
ACCN1	40	0	9.6419	0.9481	0	0	2.1816	0	0	0
ACCN2	41	8.3857	17.9063	0.9481	5.5819	7.4786	15.2713	2.7223	7.2405	2.1721
ACCN3	9311	18.8679	5.5096	14.2214	13.3966	12.8205	9.8173	10.8893	7.2405	4.3443
ACCN4	55515	2.0964	0	0	0	0	0	0	0.8045	0
ACCN5	51802	1.0482	0	0	0	0	0	0	0	0
ACCS	84680	535.639	571.625	348.898	259.001	917.735	383.965	735.935	353.178	360.576
ACCSL	390110	0	0	0	0	0	0	0	0	0
ACD	65057	182.39	245.179	129.889	276.863	269.231	210.526	127.949	183.427	220.472
ACE	1636	34.5912	212.121	58.7817	156.294	146.368	147.259	78.0399	42.6388	67.3364
ACE2	59272	209.644	45.4545	69.2107	68.0994	134.615	199.618	424.682	479.485	153.136
ACER1	125981	9.434	1.3774	0.9481	0	1.0684	0	2.7223	0	4.3443
ACER2	340485	13.6268	22.0386	67.3145	27.9096	32.0513	17.453	28.1307	28.9622	32.5821
ACER3	55331	189.727	137.741	113.771	102.707	159.188	149.441	213.249	202.735	136.845
ACHE	43	141.509	107.438	118.511	51.3536	160.256	151.623	82.5771	13.6766	11.9468
ACIN1	22985	1860.59	2006.89	1403.18	1979.35	2487.18	2168.53	1900.18	1777.96	1644.31
ACLY	47	1176.1	1134.99	1174.69	768.071	1527.78	1628.58	1337.57	1279.16	1001.36
ACMSD	130013	4170.86	1798.9	2495.38	4221.04	2510.68	2976.82	3348.46	2753.82	3191.96
ACN9	57001	348.008	195.592	239.867	259.001	256.41	206.163	255.898	292.84	274.776
ACO1	48	7091.19	5331.96	6519.08	6231.65	5834.4	6976.82	8590.74	7438.46	6240.56
ACO2	50	4007.17	3151.45	2947.09	3387.53	3464.76	3508.57	3169.89	4821.12	3507.51
ACOT11	26027	139.581	13.5124	9.5852	46.7095	11.6346	21.7289	21.9964	8.6806	35.5254
ACOT12	134526	3140.46	2581.27	2379.71	2309.8	2433.76	1262.07	2131.58	3357.2	3024.71
ACOT13	55856	3689.08	1982.22	2101.89	3061.05	2100.24	2568.56	3473.38	2926.69	2495.38
ACOT1	641371	6293.68	3117.08	3306	3935.25	2353.63	3010.64	4387.48	4546.26	2465.38
ACOT2	10965	3833.16	2123.97	2002.37	2506.28	1590.81	1913.28	2662.43	2669.35	1730.11
ACOT4	122970	349.057	282.369	443.707	469.997	346.154	450.505	387.477	552.695	424.654
ACOT6	641372	57.652	39.9449	13.2733	72.5649	28.8462	55.6313	41.7423	37.8117	11.9468
ACOT7	11332	1051.36	960.055	510.074	515.769	566.239	674.12	623.412	752.212	646.212
ACOT8	10005	546.027	516.047	394.918	514.787	520.962	573.679	548.684	539.767	515.167
ACOT9	23597	331.237	395.317	486.371	266.815	366.453	316.335	303.993	316.171	270.432
ACOX1	51	15195.4	8164.57	18090.8	12566	10490.4	9917.22	13448.9	14733.4	12782.8
ACOX2	8309	9444.44	5427	5839.3	8509.07	6173.08	6751.02	9967.33	6329.85	6391.53
ACOX3	8310	1288.26	951.791	904.48	747.977	677.35	738.478	928.312	1301.69	818.898
ACOXL	55289	3.1447	1.3774	0	1.1164	1.0684	0	0	4.0225	0
ACP1	52	2283.02	1931.13	1920.83	2384.59	1776.71	2079.08	2315.79	2246.98	2057.02
ACP2	53	4146.75	2045.45	1917.99	2779.79	2497.86	3241.89	3165.15	2602.57	2585.94
ACP5	54	446.541	1874.66	774.591	1425.62	960.47	818.107	677.858	602.574	920.988
ACP6	51205	496.855	418.733	201.944	551.493	279.914	447.232	274.047	303.298	280.206
ACPL2	92370	225.367	154.27	109.031	127.268	133.547	118.898	126.134	205.149	157.48
ACPP	55	2.0964	5.5096	4.7405	0	1.0684	1.0908	4.5372	3.218	6.5164
ACPT	93650	2.0964	0	0	0	0	1.0908	0	0	2.1721
ACR	49	13.6268	20.6612	3.7924	10.0474	6.4103	4.3632	4.5372	4.0225	2.1721
ACRBP	84519	17.8197	27.5482	9.4809	23.444	27.7778	23.9978	15.4265	13.6766	32.5821
ACRC	93953	9.434	15.1515	15.1695	21.2113	14.9573	5.454	9.9819	9.6541	9.7746
ACRV1	56	0	1.3774	0	0	0	0	0	0	0
ACSBG1	23205	3.1447	0	6.6366	2.2328	2.1368	6.5449	0.9074	4.0225	4.3443
ACSBG2	81616	2.0964	0	0	0	0	0	0	0	0
ACSF2	80221	2274.63	1856.75	1230.62	1028.19	1589.74	1158.44	1997.43	2107	2607.66
ACSF3	197322	894.13	680.441	627.637	894.223	1068.38	675.211	753.176	777.957	789.574
ACSL1	2180	53145.7	24688.7	52163.1	56051.4	41214.7	36368.7	62586.2	42109.4	77667.1
ACSL3	2181	1336.48	1297.52	3629.3	2218.25	1870.73	1954.73	1904.72	1750.6	2714.09
ACSL4	2182	135.22	400.826	1893.34	432.04	426.282	1661.3	1502.72	1893	213.956
ACSL5	51703	4137.32	3268.59	6539.94	4069.22	4540.6	3140.44	4421.96	4393.4	7688.3
ACSL6	23305	75.4717	15.1515	23.7023	21.2113	36.3248	22.907	111.615	53.9019	59.7339
ACSM1	116285	1124.74	55.0964	45.5084	48.0045	23.5043	62.1762	36.2976	121.48	483.302
ACSM2A	123876	23134.2	8589.53	17624.1	18791	17987.2	17215.2	26647	19403.1	20384.5
ACSM2B	348158	22826	10268.6	11995.3	12981.3	12310.9	12497.4	18848.5	15411.1	21167.5
ACSM3	6296	4770.06	2082.33	3318.97	3657.74	2919.69	2730.2	5421.91	3460.64	4487.5
ACSM4	341392	0	0	0	0	0	0	0	0	0
ACSM5	54988	8883.65	6477.96	9424.03	11256.5	7230.77	4694.85	8491.83	8936.44	9082.81
ACSS1	84532	167.715	349.862	150.747	206.531	441.239	289.065	149.728	123.089	995.927
ACSS2	55902	6247.38	4629.48	2895.47	2734.02	4555.56	8881.37	7107.08	3535.8	2241.65
ACSS3	79611	1479.04	1415.98	1551.08	1226.9	1816.24	1351.51	2908.35	2576.03	1941.9
ACTA1	58	1.0482	1.3774	0	0	1.0684	0	0.9074	0	0
ACTA2	59	1305.72	2894.17	3504.1	2675.26	2443.28	4649.64	2031.31	998.64	1403.66
ACTB	60	52630	75337.5	122280	80619.6	68989.3	71199.3	74403.8	53341.9	75237.6
ACTBL2	345651	0	0	0	0	0	0	0	0	0
ACTC1	70	0	0	0.9481	0	4.2735	2.1816	0	0	0
ACTG1	71	19381.6	37816.8	52641.9	34662.6	44161.3	52336	44909.3	50096.5	64878.6
ACTG2	72	2.0964	50.9642	71.1069	70.3321	195.513	212.708	49.9093	2.4135	9.7746
ACTL6A	86	342.767	432.507	369.756	429.807	417.735	445.05	345.735	483.508	345.371
ACTL6B	51412	0	0	0	0	0	0	0	0	0
ACTL7A	10881	0	1.3774	0	0	0	0	0	0	0
ACTL7B	10880	0	1.3774	0	0	0	0	0	0	0
ACTL8	81569	0	0	0	0	0	0	0	0	0
ACTL9	284382	0	0	0	0	0	0	0	0	0
ACTN1	87	2360.59	3984.85	4347.95	2662.57	3205.13	4050.18	2947.37	2253.42	4732.01
ACTN2	88	2.0964	6.8871	0	1.1164	13.8889	33.8151	7.2595	2.4135	8.6886
ACTN3	89	0	0	1.8962	0	0	0	0.9074	0	0
ACTN4	81	5729.81	6867.29	8819.18	6874.65	7328.34	7735.07	6667.24	6205.12	5255.89
ACTR10	55860	774.633	603.306	646.599	701.088	652.778	662.122	676.951	744.972	698.344
ACTR1A	10121	1873.17	1902.2	1755.87	1531.68	1970.09	1694.03	1705.08	1925.99	1636.71
ACTR1B	10120	1489.52	1841.6	1756.81	1264.86	1370.73	1228.25	1541.74	1921.96	1596.52
ACTR2	10097	3161.43	3177.69	4133.68	2703.88	3928.42	3482.96	3911.07	4443.28	3762.15
ACTR3	10096	1633.12	1950.41	2758.95	2146.8	2037.39	2133.62	2131.58	2012.07	2122.18
ACTR3B	57180	145.702	165.289	155.487	130.617	149.573	155.986	107.078	202.735	102.091
ACTR3C	653857	319.707	161.157	211.424	217.695	154.915	245.432	297.641	311.344	308.444
ACTR5	79913	181.342	121.212	133.681	131.733	149.573	205.072	155.172	127.916	117.296
ACTR6	64431	423.48	433.884	190.566	376.221	320.513	375.239	445.553	482.703	341.026
ACTR8	93973	223.27	258.953	221.853	304.772	288.462	250.886	292.196	255.833	286.723
ACTRT1	139741	0	0	0	0	0	0	0	0	0
ACTRT2	140625	0	0	0	0	0	0	0	0	0
ACVR1	90	627.883	763.085	749.941	953.391	962.607	990.455	892.922	822.204	524.572
ACVR1B	91	1483.23	998.623	1786.21	850.684	1321.58	1674.39	1778.58	1701.53	1182.73
ACVR1C	130399	110.063	77.135	72.055	97.1253	52.3504	113.444	107.986	175.382	115.124
ACVR2A	92	450.734	345.73	290.116	347.195	401.709	438.506	464.61	433.628	297.584
ACVR2B	93	182.39	337.466	211.424	251.186	209.402	233.433	180.581	155.269	108.607
ACVRL1	94	75.4717	365.014	127.044	169.69	259.615	317.426	163.339	90.1046	174.857
ACY1	95	15463.3	8644.63	7215.93	6531.4	6934.83	8851.92	10850.3	9819.79	11680.7
ACY3	91703	911.95	623.967	714.861	1209.04	810.897	988.274	859.347	745.776	549.552
ACYP1	97	27.2537	24.7934	17.0657	20.0949	47.0085	40.36	8.167	27.3532	16.2911
ACYP2	98	425.577	304.408	284.428	318.169	287.393	380.693	392.014	342.719	386.641
ADA	100	98.5325	147.383	28.4428	59.1683	96.1538	122.171	69.873	30.5712	96.6603
ADAD1	132612	0	0	0	0	0	0	0	0	0
ADAD2	161931	0	0	2.8443	3.3491	2.1368	4.3632	0	2.4135	3.2582
ADAL	161823	226.415	151.515	171.605	209.88	195.513	247.614	249.546	262.269	179.202
ADAM10	102	658.281	705.234	811.567	731.231	931.624	775.566	910.163	917.136	911.214
ADAM11	4185	10.4822	11.0193	10.429	6.6983	7.4786	9.8173	2.7223	8.0451	4.3443
ADAM12	8038	8.3857	24.7934	5.6886	17.8621	36.3248	7.6357	35.3902	21.7216	32.5821
ADAM15	8751	884.79	1575.76	713.913	644.153	1293.8	1022.18	788.657	753.041	1132.99
ADAM17	6868	134.172	161.157	363.119	151.828	204.06	170.166	196.915	185.841	237.85
ADAM18	8749	0	0	0	0	0	0	0	0	0
ADAM19	8728	95.3878	128.099	813.463	281.329	299.145	337.06	188.748	207.562	167.255
ADAM20	8748	0	2.7548	0.9481	1.1164	0	2.1816	0	0.8045	1.0861
ADAM21	8747	2.0964	0	1.8962	0	0	2.1816	0.9074	0.8045	0
ADAM21P1	145241	1.0482	2.7548	0	2.2328	0	0	0.9074	1.609	2.1721
ADAM2	2515	0	0	0	0	0	0	0	0	0
ADAM22	53616	4.1929	0	0.9481	1.1164	0	3.2724	0.9074	0.8045	1.0861
ADAM23	8745	4.1929	1.3774	0	0	2.1368	7.6357	0.9074	0.8045	3.2582
ADAM28	10863	5.2411	23.416	10.429	27.9096	113.248	40.36	10.8893	7.2405	9.7746
ADAM29	11086	0	0	0	0	0	0	0	0	0
ADAM30	11085	0	0	0	0	0	0	0	0	0
ADAM32	203102	0	0	0	1.1164	2.1368	0	0	0	1.0861
ADAM33	80332	13.6268	48.2094	5.6886	18.9785	39.5299	65.4486	9.0744	3.218	7.6025
ADAM3A	1587	0	0	0	0	0	0	0	0	0
ADAM5P	255926	0	0	0	0	0	0	0	0	0
ADAM6	8755	3064.88	28974	13295.8	27914.8	25318.2	28126.8	11424.3	3164.18	19016.7
ADAM7	8756	0	0	0	0	0	0	0	0	0
ADAM8	101	131.027	279.614	113.771	111.638	319.444	197.437	109.8	62.7514	105.349
ADAM9	8754	290.356	639.119	483.527	448.786	835.47	640.305	516.334	337.088	374.695
ADAMDEC1	27299	1.0482	0	2.8443	5.5819	8.547	4.3632	2.7223	1.609	2.1721
ADAMTS10	81794	162.474	258.953	72.055	156.294	646.367	451.595	123.412	63.5559	178.116
ADAMTS12	81792	7.3375	28.9256	18.0137	8.9311	11.7521	18.5438	22.686	14.4811	7.6025
ADAMTS13	11093	1389.94	1764.46	1027.73	1600.89	1506.41	1644.94	1268.6	1309.73	1517.24
ADAMTS14	140766	2.0964	8.2645	4.7405	8.9311	39.5299	9.8173	6.3521	1.609	19.5493
ADAMTS15	170689	0	16.5289	3.7924	7.8147	28.8462	27.2702	10.8893	0.8045	10.8607
ADAMTS16	170690	36.6876	35.8127	1.8962	1.1164	6.4103	3.2724	61.706	21.7216	4.3443
ADAMTS17	170691	601.677	188.705	90.0687	62.5174	167.735	113.444	352.995	392.599	197.665
ADAMTS18	170692	0	1.3774	0	0	0	3.2724	0.9074	0	0
ADAMTS19	171019	0	0	0	0	0	0	0	0	0
ADAMTS1	9510	732.704	1479.34	2400.57	1668.99	2506.41	2697.57	2552.63	590.507	1421.67
