Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
CHST9	83539	1001.05	615.702	393.458	629.64	598.291	581.402	245.009	870.475	292.153
CHSY1	22856	212.788	636.364	345.106	483.394	722.222	544.314	451.906	342.719	513.712
CHSY3	337876	35.6394	66.1157	57.8336	29.026	67.3077	78.5383	56.2613	28.1577	143.361
CHTF18	63922	92.2432	179.063	38.8718	85.9615	132.479	136.351	86.2069	98.1496	71.6807
CHTF8	54921	2327.04	2483.47	2119.93	2389.06	2092.95	2176.17	2579.85	2603.38	2424.11
CHUK	1147	572.327	444.904	821.996	448.786	537.393	476.684	637.931	790.024	625.577
CHURC1	91612	997.841	1462.81	1262.55	1254.64	930.705	1259.05	1500.91	1006.52	1006.68
CIAO1	9391	2523.06	2152.89	2301.97	2041.86	2133.55	2435.78	2699.64	2311.34	2156.94
CIAPIN1	57019	705.451	541.322	554.634	502.372	596.154	543.223	577.133	551.086	535.433
CIB1	10519	2822.85	3028.93	3341.08	3051.07	2654.91	3609.49	2774.05	2190.67	2669.56
CIB2	10518	10.4822	27.5482	7.5847	8.9311	34.188	32.7243	14.5191	12.8721	17.3771
CIB3	117286	0	0	1.8962	0	0	0	0.9074	0	0
CIB4	130106	0	0	0	0	0	0	0	0	0
CIC	23152	860.587	1223.14	1477.13	999.163	1205.13	1028.63	889.292	1243.77	962.259
CIDEA	1149	10.4822	0	0	0	0	0	20.8711	0	14.1189
CIDEB	27141	11476.3	7436.46	10485	11315.5	8470.93	9067.12	8332.14	8094.64	10207.6
CIDEC	63924	4.3187	13.7741	369.756	7.8147	20.2991	6.5449	5.4446	19.3081	18.4632
CIDECP	152302	126.709	82.6446	66.3664	68.0994	94.0171	94.9005	78.9474	79.646	70.5946
CIITA	4261	53.4591	247.934	68.2626	106.056	142.094	222.525	68.9655	62.7514	65.1643
CILP2	148113	17.8197	75.7576	16.1176	12.2802	26.7094	64.3578	58.0762	5.6315	22.8075
CILP	8483	114.256	115.703	45.5084	55.8191	135.684	159.258	77.1325	118.262	48.8732
CINP	51550	519.916	641.873	383.977	389.618	502.137	483.229	455.535	424.779	497.421
CIR1	9541	746.331	694.215	495.852	684.343	680.556	649.032	633.394	668.544	553.896
CIRBP	1153	3840.67	5269.97	2981.75	4832.82	3652.78	4781.02	2687.84	3498.79	4231.33
CIRH1A	84916	504.193	477.961	674.093	472.23	489.316	545.405	465.517	690.265	437.687
CISD1	55847	767.296	593.664	458.877	606.196	461.538	486.501	607.078	698.311	579.962
CISD2	493856	1073.38	1000	1046.69	991.348	908.12	1094.08	1060.8	1065.97	1213.14
CISD3	284106	3086.17	3040.79	2360.85	3122.86	2538.25	2948.98	2523.93	2201.21	2648.68
CISH	1154	993.711	7801.65	1126.33	251.186	1537.39	3367.33	4236.84	470.636	919.902
CIT	11113	36.6876	93.6639	95.7573	280.212	69.4444	196.346	22.686	49.0748	31.4961
CITED1	4435	1.0482	1.3774	2.8443	1.1164	3.2051	7.6357	0	2.4135	3.2582
CITED2	10370	2368.97	1049.59	1069.45	2106.61	848.291	1175.89	3040.83	1736.93	1076.3
CITED4	163732	757.862	1159.78	941.455	640.804	1022.44	833.379	444.646	588.898	722.237
CIZ1	25792	641.509	1001.38	568.855	818.309	811.966	783.202	554.447	637.168	596.253
CKAP2	26586	81.761	129.477	47.4046	59.1683	95.0855	65.4486	117.06	220.434	57.5618
CKAP2L	150468	7.3375	5.5096	2.8443	2.2328	6.4103	4.3632	9.0744	6.436	9.7746
CKAP4	10970	981.132	1705.23	1336.81	1656.71	1475.43	1627.49	1310.34	1182.62	1504.21
CKAP5	9793	920.335	797.521	836.217	823.891	1033.12	975.184	1054.45	979.887	925.333
CKB	1152	265.199	455.923	205.736	238.906	512.821	535.588	176.951	210.78	263.915
CKLF	51192	148.847	216.253	127.992	197.6	134.615	290.155	157.895	181.818	171.599
CKM	1158	1.0482	1.3774	0.9481	1.1164	0	2.1816	0	2.4135	0
CKMT1A	548596	0	2.7548	0	0	3.2051	6.5449	0	0	0
CKMT1B	1159	5.2411	17.9063	0	0	3.2051	10.9081	0.9074	0.8045	3.2582
CKMT2	1160	37.7358	15.1515	4.7405	7.8147	39.5299	7.6357	4.5372	44.2478	4.3443
CKS1B	1163	353.25	406.336	349.846	475.579	257.479	477.775	353.902	329.043	368.178
CKS2	1164	159.329	66.1157	327.092	90.427	120.727	74.1751	98.9111	154.465	197.665
CLASP1	23332	984.277	982.094	890.258	1058.33	1216.88	1087.54	1152.45	1025.74	1326.09
CLASP2	23122	466.457	486.226	473.098	485.627	540.598	483.229	540.835	701.529	574.532
CLC	1178	0	0	2.8443	0	0	0	0.9074	0	0
CLCA1	1179	0	0	0	0	0	0	0	0	0
CLCA2	9635	0	0	0	0	0	0	0	0.8045	6.5164
