Composite.Element.REF	TCGA-A6-3807-01	TCGA-A6-3808-01	TCGA-A6-3810-01	TCGA-AA-3518-01	TCGA-AA-3525-01	TCGA-AA-3526-01	TCGA-AA-3529-01	TCGA-AA-3531-01	TCGA-AA-3534-01	TCGA-AA-3552-01	TCGA-AA-3554-01	TCGA-AA-3558-01	TCGA-AA-3561-01	TCGA-AA-3664-01	TCGA-AA-3666-01	TCGA-AA-3672-01	TCGA-AA-3684-01	TCGA-AA-3695-01	TCGA-AA-3710-01	TCGA-AA-3715-01	TCGA-AA-3818-01	TCGA-AA-3848-01	TCGA-AA-3864-01	TCGA-AA-3986-01	TCGA-AA-3989-01	TCGA-AA-A004-01	TCGA-AA-A00E-01	TCGA-AA-A00F-01	TCGA-AA-A00J-01	TCGA-AA-A00O-01	TCGA-AA-A00U-01	TCGA-AA-A010-01	TCGA-AA-A017-01	TCGA-AA-A01C-01	TCGA-AA-A01D-01	TCGA-AA-A01F-01	TCGA-AA-A01I-01	TCGA-AA-A01K-01	TCGA-AA-A01P-01	TCGA-AA-A01R-01	TCGA-AA-A01S-01	TCGA-AA-A01T-01	TCGA-AA-A01V-01	TCGA-AA-A01X-01	TCGA-AA-A01Z-01	TCGA-AA-A022-01	TCGA-AA-A024-01	TCGA-AA-A029-01	TCGA-AA-A02E-01	TCGA-AA-A02H-01	TCGA-AA-A02J-01	TCGA-AA-A02O-01	TCGA-AA-A02R-01	TCGA-AA-A02Y-01	TCGA-AA-A03F-01	TCGA-AA-A03J-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AF-3913-01	TCGA-AG-3574-01	TCGA-AG-3580-01	TCGA-AG-3584-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-4007-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A014-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A026-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AA-A00A-01	TCGA-AA-A00N-01	TCGA-AA-A00K-01	TCGA-AA-A00R-01	TCGA-AG-A00H-01
A1BG|A1BG	-0.6648	3.0202	-0.0508	2.3349	-0.4846	-0.4281	0.2194	0.2723	0.6045	-0.0735	-0.0772	0.7200	-0.0954	-0.6757	-0.6689	0.1352	0.2436	-0.2172	-1.2426	-1.4886	0.3552	0.4560	0.4829	0.1118	0.1039	0.4462	0.2249	0.6457	-0.5289	0.7202	0.5823	1.7288	0.7199	-0.0673	-0.0183	-1.3379	-0.5726	-0.1090	0.4296	0.2311	-0.1547	0.6550	0.6845	-1.1875	-1.5002	0.0544	0.1492	-0.0018	2.2964	0.2503	-0.3994	0.2783	0.7807	-0.0939	-0.3634	-0.8689	-4.0853	-0.0233	3.0921	0.1336	NaN	0.6447	-1.3939	-0.0172	-0.3532	NaN	0.5764	0.1029	-1.6119	0.0765	-0.5326	0.2432	-0.2972	-2.5659	1.4808	-0.3721	-0.5521	-0.2240	-0.3352	0.6474	-0.2394	-0.5648	0.1183	-1.1757	-0.8613	0.0142	1.0020	0.1395	0.5378	-0.1704
A1CF|A1CF	NaN	NaN	NaN	NaN	NaN	1.3221	NaN	1.3706	NaN	NaN	NaN	-0.3553	0.7087	NaN	0.6836	NaN	NaN	0.8557	NaN	NaN	NaN	-0.0191	NaN	-1.6094	-0.5880	0.0061	NaN	NaN	NaN	NaN	1.8774	-0.8324	NaN	-0.6368	NaN	-0.2697	NaN	NaN	NaN	NaN	-0.2027	0.6429	NaN	NaN	NaN	NaN	NaN	0.1335	0.6995	NaN	-0.1847	NaN	NaN	NaN	1.5112	-0.0440	0.6183	-1.1989	NaN	NaN	NaN	-0.1107	-0.7670	NaN	NaN	-1.1827	NaN	-0.2178	-1.5615	NaN	NaN	1.5526	1.9485	-1.6914	NaN	NaN	0.5173	0.0327	NaN	NaN	-0.0704	NaN	NaN	NaN	-1.3532	NaN	NaN	-1.4628	NaN	-0.1220
A2M|A2M	1.1817	1.9544	-0.3613	1.9645	0.0751	0.2074	0.3839	0.8381	0.6194	0.0791	0.1973	1.3248	0.4268	-1.0420	0.2481	0.2263	0.7438	-0.0819	0.3415	-0.9934	1.2251	1.5492	0.9393	0.3552	-0.7848	0.6267	0.5965	0.5052	-0.1885	0.7428	0.4334	0.4621	0.4368	0.3418	0.2476	-1.4392	-0.9518	-0.5031	0.3537	-0.8573	-0.2915	0.5438	0.7780	-0.9515	-1.6769	-0.6113	0.9779	0.8114	-2.1270	-0.3454	-0.8632	-0.3337	0.5683	0.2606	0.1512	-1.1559	-1.2286	0.0190	1.1520	-0.9755	-1.3842	0.2007	0.4338	0.7272	1.1745	-2.7128	1.4827	0.3395	-2.6028	-0.0074	-0.2634	1.1665	-0.3939	-3.4558	1.9852	-0.4520	-0.8674	-0.3583	-0.5897	0.0630	-0.8827	-0.4180	-0.1526	-0.5051	-1.5545	0.1203	0.2194	0.4824	0.4199	0.6599
AAAS|AAAS	0.3439	NaN	-0.8395	-0.0546	-0.6052	0.5571	0.0614	2.0175	NaN	0.9253	0.0468	0.1732	0.9939	0.2031	0.2588	0.6824	NaN	-0.5548	0.0869	-1.6820	0.1774	0.3509	2.1854	NaN	0.2580	NaN	-0.1803	1.4456	-0.1667	-0.7393	1.1037	NaN	1.3993	NaN	NaN	-0.1762	-1.1812	NaN	NaN	1.1678	0.1797	0.4737	0.5010	0.2068	-3.2539	-0.4469	-2.2457	0.2832	-1.1591	-1.0444	-0.4035	0.3037	NaN	-0.3822	0.8597	-0.0147	-0.4759	-0.2008	-1.2973	-1.2793	0.1197	1.7714	-0.2457	NaN	0.3107	-2.2179	0.7934	0.5649	-0.7244	-0.4712	0.0851	0.9488	0.0719	-0.5609	1.4536	-0.3477	0.6316	-1.2285	NaN	1.2703	-0.2012	0.9451	0.5493	-0.1221	-1.8468	1.1338	-1.8345	NaN	0.5225	-0.2341
AACS|AACS	0.5886	NaN	NaN	-0.6218	NaN	NaN	0.0568	NaN	NaN	0.2632	0.3924	NaN	-0.8397	-0.1838	0.5917	1.2209	NaN	-0.9106	0.1959	NaN	NaN	1.2699	1.5978	NaN	-0.1062	-0.1883	1.7789	0.4050	-0.7124	0.9345	0.0479	NaN	1.0847	NaN	NaN	NaN	-0.2334	2.1037	NaN	-0.4676	-0.6003	-0.4857	0.1870	0.7412	NaN	NaN	-1.2393	0.4352	NaN	NaN	0.3725	0.8742	NaN	0.4861	-0.0256	NaN	NaN	-1.9267	-0.4548	NaN	0.4935	NaN	-0.5327	NaN	NaN	-2.3425	1.0601	-0.8756	-1.3202	0.3548	-0.8032	NaN	2.3064	-2.1090	NaN	-0.4458	NaN	NaN	NaN	-0.1856	NaN	0.4575	NaN	NaN	-1.2337	-1.2841	NaN	NaN	NaN	-0.1720
AAGAB|AAGAB	NaN	NaN	1.5643	-0.3835	NaN	0.1519	NaN	0.3362	NaN	0.8506	-0.1701	NaN	0.8419	NaN	NaN	NaN	NaN	NaN	0.1728	NaN	NaN	NaN	0.1803	NaN	NaN	NaN	0.7411	NaN	NaN	0.2165	0.2706	-0.0565	0.0118	NaN	NaN	-1.2718	1.9958	NaN	NaN	0.2941	NaN	1.0659	NaN	NaN	-2.4231	NaN	NaN	-1.0297	NaN	NaN	NaN	0.9076	NaN	1.7983	NaN	-2.7309	NaN	-0.3217	-1.0248	NaN	NaN	NaN	NaN	NaN	-0.2456	-1.4747	NaN	NaN	NaN	-0.3795	0.1376	0.0203	-0.7371	-0.9489	NaN	NaN	NaN	NaN	NaN	0.2524	0.2612	0.3771	NaN	NaN	-1.1363	0.7543	NaN	0.4387	0.6931	NaN
AAK1|AAK1	-0.0329	1.8349	-0.4249	NaN	-0.6454	0.5935	0.4654	1.8400	NaN	NaN	-0.0988	NaN	NaN	-2.6221	NaN	NaN	NaN	-0.5158	NaN	-1.9836	NaN	1.0278	0.4197	NaN	-1.5994	-0.2698	0.1477	NaN	-1.4669	1.3629	NaN	NaN	NaN	NaN	NaN	-2.4517	0.0337	-0.3574	-0.5717	NaN	NaN	0.9742	0.7343	0.7630	NaN	NaN	NaN	0.7192	0.3641	NaN	NaN	-0.1206	NaN	-0.7895	NaN	NaN	0.1809	0.0834	NaN	NaN	0.6529	0.6811	0.5421	0.9895	0.8408	-0.0546	0.1739	NaN	NaN	0.0774	NaN	NaN	-0.3933	NaN	1.5227	NaN	0.8518	NaN	NaN	NaN	-0.0467	NaN	NaN	NaN	-1.1348	-1.1641	-0.8223	-0.7712	NaN	0.4606
AAMDC|AAMDC	0.6026	NaN	NaN	NaN	NaN	-0.5843	-0.3570	1.4937	NaN	-0.2272	NaN	NaN	1.8868	-1.2590	NaN	NaN	NaN	NaN	-0.8021	NaN	0.5616	0.9117	-0.3126	NaN	NaN	NaN	NaN	NaN	0.7987	-0.4692	1.1497	NaN	-0.4132	NaN	-1.6737	NaN	NaN	NaN	NaN	1.5859	NaN	-0.6258	NaN	1.7008	NaN	NaN	-1.5994	NaN	NaN	0.8417	NaN	-1.1104	0.4281	0.2270	NaN	2.1022	NaN	-1.3650	-0.6940	NaN	-0.9066	NaN	1.0385	NaN	NaN	-1.3006	NaN	0.6714	-1.1887	-0.0425	1.3332	-0.6783	NaN	-1.1173	0.0712	NaN	-0.2595	NaN	0.8090	NaN	0.7524	-1.6179	-0.4110	0.3841	0.7683	-0.0596	NaN	0.0606	-0.6642	-0.4399
AAMP|AAMP	0.0224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3666	NaN	NaN	NaN	NaN	NaN	0.0186	NaN	-0.5995	0.4768	NaN	NaN	NaN	1.0398	NaN	NaN	NaN	0.5623	NaN	-0.4192	NaN	0.6255	NaN	NaN	NaN	NaN	-2.4436	NaN	NaN	0.0180	1.3948	0.1744	NaN	NaN	NaN	NaN	-0.7736	NaN	0.2340	NaN	NaN	NaN	NaN	NaN	NaN	0.5812	-0.6844	-1.4382	NaN	NaN	NaN	NaN	NaN	NaN	1.9093	-0.0357	NaN	NaN	0.3983	-1.4039	0.1613	NaN	NaN	0.5659	NaN	NaN	-0.8437	1.7090	0.3255	-1.6192	NaN	-0.3656	0.1649	NaN	0.7687	NaN	-2.0918	NaN	-0.1176	0.7927	1.2593
AAR2|AAR2	NaN	NaN	NaN	0.9523	NaN	NaN	NaN	NaN	NaN	0.1719	NaN	NaN	0.8915	NaN	0.0476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1772	NaN	NaN	NaN	NaN	NaN	NaN	-0.2849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0130	NaN	-2.7487	NaN	0.0529	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0433	NaN
AARD|AARD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AARS|AARS	-0.4088	0.2276	-0.3352	0.4183	-0.0325	0.0670	0.9148	1.2046	-0.1256	-0.0174	0.1376	0.2404	0.4383	-0.2805	0.9904	0.5698	-0.1245	-0.5323	0.7468	-3.0810	0.0626	3.8327	0.7877	-0.6506	0.0797	0.2078	0.8042	2.9895	-1.0287	0.7101	0.4584	0.0171	0.6709	0.3949	-1.8255	-1.4760	-0.1299	-0.2589	0.4754	0.4819	-0.2694	-0.0472	0.6551	-0.1573	-0.0970	-0.9192	-1.0651	0.5956	-0.8626	-0.4361	-0.9675	0.2317	-0.6980	0.5901	0.6161	0.1515	-0.6920	-0.3736	-0.9032	0.2352	0.9486	0.9539	0.2456	0.5973	0.6619	-2.2647	1.1238	0.2340	-2.6706	0.1172	-0.1748	0.6481	0.7759	-1.4622	0.8175	1.2347	-0.1125	-0.8813	-0.5646	-0.2492	-0.0450	0.4655	-1.1991	-1.3131	-1.1252	-0.4701	-1.1043	-0.6794	1.8081	0.4755
AARS2|AARS2	-0.0338	NaN	-0.1957	-0.6240	NaN	-0.0399	0.0671	1.5364	NaN	0.8776	1.1888	0.6970	1.0245	NaN	1.0219	-0.6336	-0.8561	0.9776	NaN	NaN	0.4514	1.1130	-0.0946	-1.1839	0.7087	1.1112	NaN	0.1490	0.0373	2.0601	0.5136	NaN	0.6552	-0.4153	NaN	-1.4186	1.1832	-0.8841	1.5813	1.0710	-0.2784	1.1554	-0.3633	0.1867	-1.3668	-0.2617	-1.0434	0.0315	-0.2770	0.3249	-0.4336	1.3748	-1.9249	-0.0783	NaN	0.6807	-0.8761	-1.0805	NaN	NaN	-0.5782	0.1387	-0.6083	-0.8486	NaN	-2.7805	0.5639	-0.3664	-1.2494	0.8915	1.3795	-1.0105	0.0257	-1.6736	0.0550	1.3775	0.8107	-1.1377	NaN	NaN	0.1864	0.1897	-2.7933	NaN	-1.1214	-0.6132	1.0660	-0.2749	0.2849	0.6704
AARSD1|AARSD1	NaN	NaN	NaN	0.3341	NaN	NaN	NaN	0.7278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1666	1.8222	NaN	0.2903	0.2651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1859	0.0063	NaN	NaN	NaN	0.0315	-2.1623	NaN	NaN	NaN	NaN	NaN	-1.3780	NaN	NaN	NaN	NaN	NaN	NaN	-0.6359	0.5047	NaN	NaN	0.8917	NaN	NaN	NaN	NaN	0.1602	NaN	NaN	-0.7222	NaN	NaN	0.0462	NaN	1.8846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1444	NaN	NaN
AASDHPPT|AASDHPPT	NaN	NaN	NaN	0.7725	NaN	NaN	0.2795	NaN	0.1735	0.1373	0.0105	NaN	0.5532	NaN	-0.1953	0.3238	-0.7268	0.8558	0.4278	1.4452	0.8665	0.7823	0.5350	NaN	1.2077	-0.3341	0.1116	1.8163	NaN	-0.0908	1.0864	NaN	-1.2178	0.2653	-0.7824	NaN	-0.8402	0.4559	0.0682	-0.0243	-0.0098	0.3553	0.6924	0.1467	NaN	NaN	NaN	-1.1225	-0.7101	-0.1833	0.3527	1.7301	0.2576	-0.2755	0.8289	-0.8894	NaN	-4.0401	-2.5605	0.0519	NaN	0.8576	-0.3712	0.3171	0.2316	NaN	0.1328	NaN	-0.6913	-0.1093	0.0136	-0.7200	0.8169	NaN	NaN	-0.0716	-1.2061	-0.4396	NaN	NaN	0.2782	-1.9341	NaN	-2.0819	NaN	1.0183	NaN	NaN	1.3721	NaN
AATF|AATF	NaN	NaN	-0.2228	-0.0828	-0.0685	-0.7532	0.9498	0.6822	-0.8400	0.0518	0.1842	0.9920	-0.2406	NaN	0.2550	0.3590	0.2094	0.2376	-1.0076	NaN	NaN	1.9030	1.4725	NaN	1.3118	-1.4826	0.2851	0.3962	-0.7799	1.2095	0.6471	NaN	0.4522	0.4759	-1.7524	-2.0925	-0.5058	-0.6486	NaN	0.5147	0.6422	0.0842	0.9179	-0.2336	NaN	-1.4597	NaN	0.5647	-3.9560	0.7147	-0.2600	0.9314	-0.6527	0.3042	0.5220	0.3767	0.2497	-1.0621	NaN	-0.0339	NaN	1.3013	0.3862	1.4525	0.2356	-1.4225	0.5808	0.1845	-0.2855	0.4148	NaN	0.3951	0.6594	-2.8507	0.7454	-0.9357	-0.3930	-1.7098	NaN	1.0560	0.0050	0.6465	NaN	-0.1062	-0.9209	-0.0426	NaN	NaN	0.5504	0.2919
ABAT|ABAT	NaN	NaN	0.6533	NaN	-1.0227	-0.3469	0.3510	1.5324	0.4720	NaN	NaN	0.9899	0.3054	NaN	NaN	NaN	0.3209	-0.7238	-2.0564	-2.3586	-0.6856	NaN	0.0334	-0.9119	1.3911	-0.1266	NaN	0.5466	-1.8507	2.7107	-0.7265	-0.1314	0.4254	0.3137	NaN	-0.5850	1.3157	-0.0610	NaN	NaN	NaN	1.0754	1.2976	1.0920	NaN	0.1334	0.7051	NaN	-0.3865	2.0653	NaN	NaN	-0.6899	0.1212	-0.3342	0.8254	-1.8009	-0.0211	NaN	NaN	-0.4609	0.3328	0.2601	1.2000	NaN	-0.2460	NaN	NaN	-1.9517	0.2704	-0.5986	0.7218	-0.2676	0.5496	-0.1141	-1.4592	0.1653	NaN	-1.6413	-0.1081	0.7029	NaN	NaN	0.1920	-0.9245	-0.0156	NaN	NaN	NaN	-0.4647
ABCB1|ABCB1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1628	-0.5916	0.1564	NaN	-0.3633	NaN	NaN	NaN	NaN	0.2654	NaN	NaN	NaN	0.9493	NaN	NaN	0.5877	NaN	0.2467	NaN	0.6980	NaN	NaN	NaN	-0.4877	NaN	0.7478	NaN	NaN	1.1943	NaN	NaN	NaN	NaN	2.6508	0.3255	-1.0444	NaN	NaN	NaN	0.8148	-1.0576	NaN	NaN	-0.4543	NaN	-1.8735	-0.1167	1.1413	-1.4373	0.1768	-0.6978	NaN	NaN	NaN	1.2294	-0.1555	-1.2824	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8029	-2.0714	0.5591	NaN	0.4615	NaN	NaN	0.4612	NaN	NaN	1.2433	NaN	-1.7202	-0.8743	0.1444	0.0328	NaN	0.7817
ABCB10|ABCB10	-0.8020	NaN	-1.7092	-0.3475	NaN	NaN	-0.1657	1.3912	NaN	-0.8949	NaN	NaN	NaN	0.5556	1.1016	NaN	NaN	NaN	-0.7752	NaN	NaN	-0.0436	NaN	NaN	NaN	NaN	NaN	NaN	0.1066	1.3565	-1.0866	NaN	NaN	NaN	NaN	-0.5619	-1.1166	NaN	NaN	1.3044	NaN	0.5010	NaN	1.9782	-1.7884	NaN	NaN	-0.1134	-2.5735	-0.1938	NaN	0.2995	NaN	0.3776	NaN	NaN	0.4291	NaN	NaN	NaN	NaN	NaN	0.3430	NaN	NaN	NaN	NaN	NaN	-0.7793	0.6805	NaN	-0.3944	0.7002	NaN	NaN	NaN	0.7655	NaN	NaN	NaN	0.8112	NaN	NaN	NaN	NaN	0.7646	NaN	NaN	-0.1203	NaN
ABCB6|ABCB6	1.2357	NaN	NaN	1.2274	-1.7835	-0.4592	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6578	NaN	NaN	NaN	-0.4300	-0.3816	NaN	NaN	NaN	NaN	NaN	NaN	-0.3316	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3148	NaN	NaN	NaN
ABCB7|ABCB7	0.3999	NaN	-0.4112	-0.3314	NaN	0.3657	-1.4756	1.5969	-0.2461	0.3122	-0.3575	NaN	-0.1201	-1.1238	0.7839	0.1051	-0.2165	-0.3194	-1.2964	NaN	NaN	1.8321	NaN	-1.3807	0.0597	-0.1352	-0.5884	1.8851	-0.8991	1.5578	-0.3021	NaN	0.5354	0.3288	NaN	-0.1866	1.2451	NaN	NaN	-0.8003	0.0577	0.9525	0.1935	1.8881	-0.5853	0.7653	-0.9917	NaN	-0.1513	-0.3086	-1.0328	0.6832	NaN	0.8732	1.6824	0.3405	2.7492	0.0905	-3.0406	-0.0919	-1.1643	NaN	0.0348	0.8396	0.4792	-0.7284	-1.1530	0.4340	0.4746	0.5053	0.0173	0.9705	-0.0462	-2.2119	0.4429	0.3204	0.5846	-0.9536	NaN	NaN	-0.4042	NaN	NaN	NaN	-1.6260	0.2707	NaN	-1.2582	-0.4477	-0.2718
ABCB8|ABCB8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3634	NaN	NaN	NaN	-1.3392	NaN	NaN	NaN	NaN	0.4793	NaN	NaN	0.7912	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1778	NaN	NaN	NaN	NaN	0.0022	0.0969	NaN	NaN	2.4931	-0.6453	NaN	NaN	0.2358	-0.5618	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3011	NaN	NaN	-2.2992	NaN	NaN	0.6473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5232	NaN	NaN	0.3164	NaN
ABCC1|ABCC1	NaN	-0.2786	NaN	-0.3276	0.0042	NaN	0.5636	0.9308	NaN	NaN	NaN	NaN	NaN	-2.5211	-0.1968	NaN	NaN	-0.0376	NaN	-0.6070	-0.7060	1.6827	0.3486	3.3268	-0.1240	NaN	-0.1645	NaN	NaN	NaN	0.3799	NaN	0.4710	0.5238	NaN	NaN	NaN	NaN	-0.6383	NaN	-0.3871	0.6033	NaN	0.2898	NaN	-1.2252	-0.6756	0.3437	-1.5166	NaN	NaN	-0.2356	NaN	-1.8914	NaN	NaN	-0.3807	0.9470	NaN	NaN	NaN	1.6061	NaN	0.7084	0.3363	NaN	NaN	NaN	NaN	-0.3382	NaN	0.8071	-0.9909	NaN	NaN	NaN	1.3705	-1.6841	NaN	NaN	0.6660	0.2663	NaN	-0.1910	NaN	-0.1750	-0.5502	-0.2456	-0.0876	NaN
ABCC10|ABCC10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC3|ABCC3	1.2969	NaN	NaN	NaN	-0.9259	0.5326	NaN	NaN	0.2860	-0.2005	0.0650	0.9308	NaN	-2.0828	-0.6105	NaN	1.3324	-0.4394	-0.0212	NaN	NaN	0.6254	2.5165	NaN	NaN	0.5307	0.2544	1.5935	NaN	NaN	-0.6817	1.0610	NaN	0.4227	NaN	NaN	0.5020	-1.1741	0.6772	-0.2957	0.4609	0.7790	-0.4743	-1.0207	1.5874	-1.0051	0.3865	-2.0546	NaN	-1.5682	NaN	-0.2725	-1.3728	-0.1312	-0.8125	NaN	NaN	0.1819	NaN	-0.9870	NaN	0.7981	-0.5409	NaN	0.8633	-2.7508	-0.6039	0.0808	NaN	0.7898	-0.0946	NaN	0.0076	NaN	NaN	0.6658	NaN	-0.3151	NaN	NaN	0.4247	NaN	0.8836	NaN	NaN	0.4224	NaN	-1.2091	NaN	0.6860
ABCC4|ABCC4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0954	NaN	NaN	NaN	NaN	0.1109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.3677	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5690	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9220	NaN	NaN	NaN	0.2674	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0849	NaN	NaN	NaN	NaN	-0.4531	0.1525	NaN	-0.7824	NaN	NaN	NaN	NaN	NaN	NaN	-0.5078	NaN	NaN	NaN	NaN	NaN	NaN	-0.8128	NaN	NaN
ABCD1|ABCD1	-0.0774	NaN	-0.3054	0.6305	0.0428	NaN	NaN	0.7654	NaN	1.1457	NaN	NaN	-0.2441	0.3407	NaN	NaN	0.1199	NaN	NaN	NaN	NaN	1.7833	NaN	NaN	NaN	NaN	0.5371	-0.3652	-1.3123	1.9983	NaN	NaN	NaN	0.4693	-0.2928	NaN	NaN	NaN	0.9553	NaN	NaN	-0.3033	NaN	0.7031	NaN	NaN	-4.1102	-0.2108	-0.3014	0.2496	NaN	NaN	-0.0802	0.2370	NaN	0.0390	0.2414	0.2270	-0.6222	-0.8462	NaN	0.4358	0.1988	1.1848	0.1439	-0.9377	0.3026	NaN	-2.1778	-0.4264	NaN	NaN	NaN	-1.5595	NaN	NaN	NaN	NaN	NaN	NaN	0.6259	NaN	NaN	NaN	NaN	NaN	-0.1724	0.1884	0.6905	0.0891
ABCD3|ABCD3	0.5462	-0.6728	2.5764	0.0985	0.1030	-0.2154	0.8685	1.1833	-1.0444	0.9392	0.1526	1.1959	-0.2061	-0.9459	0.8487	0.2350	-0.0170	2.8361	-0.4536	-3.5326	-0.2085	1.0837	0.6678	-0.4727	0.7659	0.5099	0.6523	0.0616	-0.6747	1.3992	0.8670	0.0967	0.7059	0.2395	-1.6539	-0.5649	0.0907	-0.2074	-0.7322	0.4246	0.1269	0.2778	0.3389	-0.5656	-1.4039	-0.2321	0.1353	0.7566	-0.6878	-0.3327	-1.4686	0.4185	-0.5923	0.3711	0.5123	0.2600	-0.0066	-0.2758	-1.1222	0.0607	1.1470	1.3835	0.1584	0.1076	0.5510	-1.7322	0.5070	0.3110	-1.1883	0.4014	0.4833	0.0021	-0.0070	-1.6997	0.5465	2.7734	0.2130	-0.4764	-2.3141	0.5697	-0.0592	-0.4660	-0.6756	-0.7377	-1.9287	-0.7195	NaN	-1.5784	0.0357	0.2760
ABCE1|ABCE1	0.3493	0.0175	-1.2026	0.0900	-0.1398	-0.0184	0.8465	1.1380	-0.3965	-0.0432	-0.0414	0.5917	0.4574	1.0541	0.3041	0.4596	-0.3294	-0.0070	0.0995	-1.6242	0.3788	1.0540	2.8370	-0.3443	0.1791	0.0914	0.5875	2.9995	-1.2679	0.2175	0.5906	-0.6199	0.8331	0.3295	-1.3753	-1.1935	0.2649	0.0559	-0.1854	0.1391	-0.6995	-0.0657	0.6039	-0.3627	-2.2447	-1.0754	-0.6530	0.4529	-1.1492	0.3822	-0.2004	0.0697	-0.1262	0.0198	2.5852	-0.1341	-0.1584	-0.5554	-1.6221	-0.0799	0.6062	2.1261	0.3862	0.1914	-0.0848	-1.3423	0.5545	-0.1593	-0.9751	0.9085	0.0749	0.2061	2.3134	-1.3368	1.1873	-0.7626	0.1153	-0.6516	-3.4049	0.4073	-0.0742	-0.1738	-0.7033	-0.1533	-0.9980	-0.3474	-0.9230	-0.9152	1.4994	0.2651
