Composite.Element.REF	TCGA-A6-3807-01	TCGA-A6-3808-01	TCGA-A6-3810-01	TCGA-AA-3518-01	TCGA-AA-3525-01	TCGA-AA-3526-01	TCGA-AA-3529-01	TCGA-AA-3531-01	TCGA-AA-3534-01	TCGA-AA-3552-01	TCGA-AA-3554-01	TCGA-AA-3558-01	TCGA-AA-3561-01	TCGA-AA-3664-01	TCGA-AA-3666-01	TCGA-AA-3672-01	TCGA-AA-3684-01	TCGA-AA-3695-01	TCGA-AA-3710-01	TCGA-AA-3715-01	TCGA-AA-3818-01	TCGA-AA-3848-01	TCGA-AA-3864-01	TCGA-AA-3986-01	TCGA-AA-3989-01	TCGA-AA-A004-01	TCGA-AA-A00E-01	TCGA-AA-A00F-01	TCGA-AA-A00J-01	TCGA-AA-A00O-01	TCGA-AA-A00U-01	TCGA-AA-A010-01	TCGA-AA-A017-01	TCGA-AA-A01C-01	TCGA-AA-A01D-01	TCGA-AA-A01F-01	TCGA-AA-A01I-01	TCGA-AA-A01K-01	TCGA-AA-A01P-01	TCGA-AA-A01R-01	TCGA-AA-A01S-01	TCGA-AA-A01T-01	TCGA-AA-A01V-01	TCGA-AA-A01X-01	TCGA-AA-A01Z-01	TCGA-AA-A022-01	TCGA-AA-A024-01	TCGA-AA-A029-01	TCGA-AA-A02E-01	TCGA-AA-A02H-01	TCGA-AA-A02J-01	TCGA-AA-A02O-01	TCGA-AA-A02R-01	TCGA-AA-A02Y-01	TCGA-AA-A03F-01	TCGA-AA-A03J-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AF-3913-01	TCGA-AG-3574-01	TCGA-AG-3580-01	TCGA-AG-3584-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-4007-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A014-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A026-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AA-A00A-01	TCGA-AA-A00N-01	TCGA-AA-A00K-01	TCGA-AA-A00R-01	TCGA-AG-A00H-01
ROMO1|ROMO1	0.4753	-0.4873	0.2803	NaN	NaN	0.4552	1.0758	1.4786	-1.6950	-0.8596	-0.2625	0.7191	0.9379	-0.2956	0.0447	0.5369	-0.2342	0.5977	NaN	NaN	NaN	1.3020	NaN	NaN	0.5939	0.5073	0.3941	NaN	NaN	1.3079	0.6519	-0.4026	0.3868	1.0895	NaN	-1.7820	0.8670	-0.5715	NaN	NaN	0.8862	0.9884	-0.2152	0.0253	NaN	-1.3206	NaN	0.6621	-1.1721	1.1082	-0.8132	0.3572	NaN	-0.4998	0.1008	0.5918	-2.5676	NaN	NaN	0.6282	-0.4377	0.5812	0.6127	1.4358	-0.0154	-2.7299	NaN	-0.1473	-1.1845	0.8857	NaN	NaN	NaN	-2.2479	0.5440	-0.1351	1.4121	-0.6030	NaN	-0.9050	1.2167	NaN	NaN	-1.2279	-1.6580	NaN	-0.8722	0.0110	-0.8957	0.4889
RP2|RP2	0.5405	NaN	-0.2124	0.8571	NaN	0.4267	-0.0744	1.2835	0.2526	0.4266	0.8698	0.9999	-2.0143	-0.5313	0.9975	NaN	0.3441	0.5024	0.5612	-2.6539	1.1011	1.4654	1.3308	-1.0109	0.5408	0.2187	-0.0482	1.1248	-0.6342	0.2022	-0.1696	0.0887	1.5928	0.4609	-0.5938	-1.0819	0.5683	0.4958	NaN	0.9116	-0.4564	0.5810	0.9474	NaN	-1.2122	0.0349	-0.7555	0.1194	-0.9344	0.2882	-0.5896	0.1130	0.0509	0.4806	1.4386	-0.3291	-4.0244	0.0093	-0.1490	0.6941	0.4084	1.2061	0.1892	0.4643	0.4888	-2.1120	NaN	0.1113	-2.4232	0.0640	0.0002	0.9085	-0.1676	-2.1385	1.7945	0.2969	-0.8565	-0.0846	-1.1760	0.2499	-0.1515	-0.6857	-0.5353	0.0546	-1.2828	0.0905	-0.1106	-0.9297	0.6693	0.2116
RPA1|RPA1	0.2216	-0.1475	-0.6421	1.1097	0.0761	0.2880	0.7044	0.3750	1.8230	-0.1428	0.2538	0.4148	0.1572	0.0434	0.4371	0.7526	0.2309	0.2238	0.2321	-2.1902	-0.1141	1.2248	1.2567	-0.6945	0.6926	0.4774	0.4559	0.4356	-0.3623	0.5445	0.9979	-0.1684	0.2092	0.4037	-1.5056	-1.3179	2.1837	2.0861	1.2306	0.3252	-0.1406	0.2591	0.6092	0.2003	-0.7019	-0.6228	-1.3378	-0.1938	-1.3997	0.2041	-1.3132	0.2708	2.9222	-0.0602	0.6060	-0.7846	-1.9790	-0.0067	-1.1735	-0.8087	0.0298	1.1459	-0.2639	0.3931	0.2068	-1.1738	2.7663	-0.5401	-1.9783	0.1651	-0.2157	-0.0502	0.4486	-1.7600	0.9806	-0.5111	-0.2779	-0.9080	-1.3453	0.1908	-0.0445	0.5104	-1.5096	-0.5338	-1.5820	-0.0842	-1.6188	-1.3754	1.0467	0.7574
RPA2|RPA2	0.3949	-0.1525	-0.5479	0.7320	-1.2089	0.1379	0.7237	0.0800	-0.0691	0.0325	0.4304	-0.9629	NaN	0.2964	0.4670	0.5256	-0.0253	-0.0111	-0.3816	1.6110	0.4281	0.9391	0.8087	-1.9297	-0.8272	0.3853	0.1478	0.5490	-0.1887	0.9622	0.8525	0.0618	0.5281	0.2716	-1.6571	-2.5005	-0.4220	-0.6346	-0.0813	1.9019	-1.5817	-0.0171	0.9589	0.6026	0.6929	0.2843	-0.4042	-0.0381	3.1775	-0.9289	NaN	0.0222	0.5965	1.1754	1.3194	-0.4032	NaN	0.9916	NaN	NaN	0.1036	0.8431	NaN	0.8761	0.0595	-2.1656	0.1510	-1.0193	-1.8111	0.1298	1.6710	0.1117	0.9897	-0.7612	0.7245	-0.7314	-0.0999	-2.7649	0.0065	-0.3151	-0.3266	-0.0007	-1.8498	-1.9710	-0.9846	0.1757	NaN	0.4771	0.4690	-0.1027
RPA3|RPA3	-0.3945	NaN	-1.1942	1.5244	NaN	NaN	0.4914	NaN	NaN	-0.6987	0.0113	0.9145	-0.7863	1.7435	0.2492	0.3412	-0.3282	0.1852	-0.2223	-1.7631	-0.6852	0.0360	0.8535	-0.8659	0.1019	0.8208	0.4542	NaN	-0.1753	0.4057	0.3069	0.6511	NaN	0.7325	NaN	-0.5898	0.1031	-0.9251	1.7296	0.8382	0.0201	-1.2243	1.2677	0.1122	NaN	1.2055	-0.4589	-0.3830	-2.5305	0.2899	NaN	1.2289	0.5072	0.1351	0.9898	NaN	NaN	1.0161	NaN	-1.4820	-0.8841	0.1825	-0.4553	1.1436	0.8803	NaN	0.3058	-0.2252	-3.0635	0.1309	-0.1352	0.3342	1.6948	-2.7089	0.1135	-0.2998	-1.5546	-0.6830	-0.3786	0.9587	NaN	NaN	NaN	NaN	NaN	0.3382	-1.4809	-0.0760	1.2762	0.0271
RPAP3|RPAP3	NaN	NaN	NaN	-1.5471	0.0247	NaN	NaN	0.0585	NaN	0.2498	NaN	-0.8469	0.0207	-1.0153	-0.0633	-0.3855	NaN	0.3167	-0.1395	NaN	-0.4704	NaN	0.4036	NaN	-0.1902	NaN	0.3643	NaN	2.0075	0.2740	0.6733	NaN	0.3785	NaN	NaN	-1.7082	0.7784	NaN	NaN	0.3727	0.9872	-0.0416	NaN	-0.8273	NaN	NaN	NaN	1.8619	-1.3863	0.8483	NaN	-0.9265	1.5306	-0.7445	0.7367	0.3989	NaN	-0.3726	NaN	NaN	NaN	-0.7761	0.5322	NaN	1.4339	-1.6472	0.6801	NaN	-1.0778	1.3833	0.7581	NaN	-0.4649	-2.3807	-0.8677	NaN	0.5492	NaN	NaN	NaN	-0.1342	0.4741	NaN	1.0562	-2.1590	-0.4883	NaN	NaN	NaN	1.5075
RPE|RPE	0.1112	NaN	1.2199	0.0700	-0.7605	NaN	2.0612	-0.1073	-0.8162	-0.8434	2.1374	2.1124	-0.2320	-1.3554	-0.1492	NaN	0.0358	-1.5400	-0.2120	NaN	NaN	1.9593	-0.3646	-0.4629	-0.4658	0.0223	-0.0213	0.4383	-2.0881	-0.0922	0.0167	-0.1210	0.3437	0.1269	-0.4186	-2.4942	1.9881	1.9045	0.2288	-0.5824	1.7233	-0.4164	-0.3056	0.8284	-2.5291	-0.5952	-1.2199	0.1267	-1.1016	NaN	-0.7247	-0.1246	0.0399	1.2521	1.3930	0.9692	NaN	-0.4445	-0.6229	1.6019	1.7041	-0.2027	-0.0858	0.4235	-0.0158	-1.3802	NaN	0.0951	-0.8892	0.2234	-0.4198	-0.2270	1.2561	-0.1221	0.3633	-0.4977	0.6613	1.7022	-0.5741	0.2555	-0.1194	-0.7951	NaN	-0.1691	-0.6808	-0.3180	-0.6043	-0.5744	-0.1474	-0.3608
RPF2|RPF2	-0.2871	-0.2883	-0.6136	-0.6861	-0.5015	NaN	0.5887	NaN	-0.9932	0.7515	-0.4139	1.6431	0.9089	-0.0465	1.1868	1.0555	-0.3319	0.4048	0.5550	NaN	-0.0450	2.2434	0.8068	NaN	1.2344	-0.0216	-0.4786	-1.7791	-0.9783	NaN	1.4863	NaN	1.1516	-0.2649	-2.9194	0.8897	0.1145	0.2367	NaN	1.1001	0.7586	-0.5608	0.6896	-0.3026	NaN	-0.0119	-1.4579	-0.2322	-2.2781	-0.4482	-0.1822	1.7434	-0.9608	-1.3242	0.8261	0.5518	-0.4544	-0.2929	NaN	0.8853	0.7637	0.9290	-0.9837	0.3017	-1.4463	-1.1055	NaN	0.9468	0.2319	0.3045	0.7443	1.5580	0.3070	-1.4317	-0.2538	0.5643	-0.0656	-1.1009	-1.9455	1.6965	0.5435	-0.7812	-0.4156	0.5295	-1.5027	0.5581	-1.4492	-0.1968	0.2628	-0.2204
RPIA|RPIA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5897	NaN	NaN	0.5129	NaN	-0.1894	NaN	-0.6050	NaN	NaN	NaN	NaN	NaN	NaN	0.2551	NaN	0.8203	-0.0532	1.1812	NaN	-0.2002	0.4041	NaN	0.2700	0.9775	NaN	NaN	0.9248	NaN	NaN	0.5164	NaN	0.7004	NaN	0.3121	-3.1171	NaN	NaN	0.0356	0.5273	0.8074	NaN	0.5141	NaN	-0.6590	NaN	NaN	-2.4109	NaN	NaN	NaN	NaN	NaN	-1.1052	NaN	NaN	NaN	NaN	0.7335	NaN	1.7437	0.1565	-1.2384	NaN	NaN	NaN	0.7713	-0.5840	NaN	NaN	-0.7774	-0.5297	NaN	NaN	-1.2535	NaN	NaN	NaN	NaN	NaN	-0.0309
RPL10|RPL10	0.4909	0.0323	-0.5080	0.1421	-0.3792	0.4347	1.1521	0.6058	0.0908	-0.1777	0.4296	0.5191	0.5224	-0.1503	0.6511	0.0163	-0.0615	0.0257	0.9933	-1.8361	0.5832	1.4601	1.5171	0.3092	0.5927	0.5113	0.8549	0.9397	-2.0996	1.0430	0.6403	0.4888	1.2310	0.7633	-1.9432	-2.7282	0.1050	-0.1526	0.1316	0.7930	0.0800	0.2107	0.9720	-0.1382	1.5025	-0.2109	-0.5874	0.9164	0.0432	-0.0728	-1.1901	-0.2270	0.1138	0.4186	0.8087	-0.9944	-0.0530	0.5336	-0.4189	0.5959	1.1064	0.6842	-0.1985	0.2615	0.4974	-1.5988	-0.1037	0.1795	-2.0870	0.7520	0.5676	0.0624	0.5954	-2.2925	2.6743	-0.7641	-0.4274	-0.9246	-0.4196	-1.0450	0.3682	-0.8009	-2.7668	-0.7622	-2.5408	-0.2975	-1.3968	-0.8767	1.0831	0.1340
